<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,1,20200302,125400,207.3000000,207.3000000,207.0100000,207.2300000
GAZP,1,20200302,125500,207.2400000,207.4400000,207.2000000,207.2400000
GAZP,1,20200302,125600,207.2400000,207.2900000,207.1500000,207.2800000
GAZP,1,20200302,125700,207.2500000,207.4100000,207.2200000,207.4100000
GAZP,1,20200302,125800,207.4100000,207.9000000,207.4100000,207.8300000
GAZP,1,20200302,125900,207.8300000,208.2300000,207.8300000,208.0700000
GAZP,1,20200302,130000,208.0900000,208.0900000,207.6300000,207.8600000
GAZP,1,20200302,130100,207.8500000,207.8500000,207.4100000,207.6700000
GAZP,1,20200302,130200,207.6300000,207.9800000,207.4400000,207.7200000
GAZP,1,20200302,130300,207.7800000,207.8000000,207.5000000,207.6400000
GAZP,1,20200302,130400,207.6500000,207.7500000,207.2700000,207.5000000
GAZP,1,20200302,130500,207.5000000,207.6000000,207.3200000,207.5100000
GAZP,1,20200302,130600,207.5100000,207.7500000,207.3100000,207.6700000
GAZP,1,20200302,130700,207.7500000,207.7500000,207.5400000,207.6900000
GAZP,1,20200302,130800,207.6900000,207.7500000,207.5900000,207.6800000
GAZP,1,20200302,130900,207.6800000,207.6900000,207.4600000,207.4600000
GAZP,1,20200302,131000,207.4700000,207.5200000,207.2000000,207.2700000
GAZP,1,20200302,131100,207.3100000,207.3100000,207.0100000,207.0300000
GAZP,1,20200302,131200,207.0700000,207.1000000,206.8000000,206.9600000
GAZP,1,20200302,131300,206.9600000,207.2000000,206.9000000,207.0000000
GAZP,1,20200302,131400,207.0000000,207.2500000,207.0000000,207.1700000
GAZP,1,20200302,131500,207.1200000,207.6500000,207.1100000,207.6500000
GAZP,1,20200302,131600,207.6500000,207.7500000,207.6200000,207.7400000
GAZP,1,20200302,131700,207.7100000,207.7500000,207.6300000,207.7500000
GAZP,1,20200302,131800,207.7300000,208.0000000,207.7300000,208.0000000
GAZP,1,20200302,131900,207.9200000,208.0000000,207.4600000,207.6100000
GAZP,1,20200302,132000,207.6400000,207.6600000,207.4000000,207.5000000
GAZP,1,20200302,132100,207.5000000,207.8900000,207.4900000,207.8100000
GAZP,1,20200302,132200,207.8000000,207.8900000,207.5000000,207.6700000
GAZP,1,20200302,132300,207.6700000,207.8900000,207.5900000,207.7700000
GAZP,1,20200302,132400,207.7300000,207.8400000,207.4200000,207.4200000
GAZP,1,20200302,132500,207.4100000,207.8500000,207.4100000,207.8500000
GAZP,1,20200302,132600,207.8500000,208.3200000,207.8000000,208.2400000
GAZP,1,20200302,132700,208.2800000,208.3700000,207.9700000,208.1700000
GAZP,1,20200302,132800,208.1800000,208.2800000,208.0500000,208.2800000
GAZP,1,20200302,132900,208.2800000,208.6400000,208.2100000,208.3600000
GAZP,1,20200302,133000,208.3500000,208.6400000,208.2800000,208.3600000
GAZP,1,20200302,133100,208.3300000,208.4900000,208.1800000,208.4900000
GAZP,1,20200302,133200,208.4700000,208.8600000,208.4600000,208.7600000
GAZP,1,20200302,133300,208.7800000,209.0000000,208.7100000,208.8000000
GAZP,1,20200302,133400,208.7700000,208.9900000,208.6500000,208.9000000
GAZP,1,20200302,133500,208.8900000,208.9000000,208.8000000,208.9000000
GAZP,1,20200302,133600,208.8700000,208.8800000,208.6100000,208.6100000
GAZP,1,20200302,133700,208.6400000,208.6400000,208.2800000,208.4700000
GAZP,1,20200302,133800,208.4000000,208.4700000,208.2200000,208.2200000
GAZP,1,20200302,133900,208.3300000,208.3600000,208.1800000,208.2800000
GAZP,1,20200302,134000,208.3000000,208.3000000,208.1900000,208.2800000
GAZP,1,20200302,134100,208.2800000,208.3000000,208.0200000,208.1100000
GAZP,1,20200302,134200,208.0800000,208.1300000,207.8000000,208.0000000
GAZP,1,20200302,134300,208.0000000,208.1800000,208.0000000,208.1000000
GAZP,1,20200302,134400,208.1000000,208.3000000,208.0900000,208.3000000
GAZP,1,20200302,134500,208.2800000,208.5000000,208.2400000,208.4100000
GAZP,1,20200302,134600,208.4000000,208.5000000,208.3600000,208.4300000
GAZP,1,20200302,134700,208.5000000,208.5000000,208.3300000,208.4200000
GAZP,1,20200302,134800,208.4000000,208.4100000,208.0600000,208.0600000
GAZP,1,20200302,134900,208.0400000,208.1100000,207.9500000,208.0000000
